
📺中央卫视数字频道,#genre#
CCTV9,http://122.230.39.185:44158/rtp/233.50.201.121:5140
CCTV9,http://122.230.39.185:50777/rtp/233.50.201.121:5140
CCTV9,http://122.230.39.185:6060/rtp/233.50.201.121:5140
CCTV10,http://tnvcn.com:8012/rtp/239.3.1.63:8116$BJ联通1+
CCTV10,http://122.230.39.185:2030/rtp/233.50.201.122:5140
CCTV10,http://122.230.39.185:2078/rtp/233.50.201.122:5140
CCTV10,http://122.230.39.185:2121/rtp/233.50.201.122:5140
CCTV10,http://122.230.39.185:2715/rtp/233.50.201.122:5140
CCTV10,http://122.230.39.185:347/rtp/233.50.201.122:5140
CCTV10,http://122.230.39.185:385/rtp/233.50.201.122:5140
CCTV10,http://122.230.39.185:44158/rtp/233.50.201.122:5140
CCTV10,http://122.230.39.185:50777/rtp/233.50.201.122:5140
CCTV10,http://122.230.39.185:6060/rtp/233.50.201.122:5140
CCTV11,http://tnvcn.com:8012/rtp/239.3.1.152:8120$BJ联通1+
CCTV12,http://tnvcn.com:8012/rtp/239.3.1.64:8124$BJ联通1+
CCTV12,http://122.230.39.185:2030/rtp/233.50.201.123:5140
CCTV12,http://122.230.39.185:2078/rtp/233.50.201.123:5140
CCTV12,http://122.230.39.185:2121/rtp/233.50.201.123:5140
CCTV12,http://122.230.39.185:2715/rtp/233.50.201.123:5140
CCTV12,http://122.230.39.185:347/rtp/233.50.201.123:5140
CCTV12,http://122.230.39.185:385/rtp/233.50.201.123:5140
CCTV12,http://122.230.39.185:44158/rtp/233.50.201.123:5140
CCTV12,http://122.230.39.185:50777/rtp/233.50.201.123:5140
CCTV12,http://122.230.39.185:6060/rtp/233.50.201.123:5140
CCTV13,http://tnvcn.com:8012/rtp/239.3.1.124:8128$BJ联通1+
CCTV13,http://122.230.39.185:2030/rtp/233.50.201.246:5140
CCTV13,http://122.230.39.185:2078/rtp/233.50.201.246:5140
CCTV13,http://122.230.39.185:2121/rtp/233.50.201.246:5140
CCTV13,http://122.230.39.185:2715/rtp/233.50.201.246:5140
CCTV13,http://122.230.39.185:347/rtp/233.50.201.246:5140
CCTV13,http://122.230.39.185:385/rtp/233.50.201.246:5140
