
📺中央卫视数字高清,#genre#
CCTV5,http://106.8.125.202:4022/rtp/239.254.201.153:7206$河\北電信
CCTV5+,http://27.184.18.144:4022/rtp/239.254.200.46:8004$河\北電信
CCTV5+,http://27.191.200.33:14000/rtp/239.254.200.46:8004$河\北電信
CCTV5,http://27.184.18.144:4022/rtp/239.254.201.153:7206$河\北電信
CCTV5,http://27.191.200.33:14000/rtp/239.254.201.153:7206$河\北電信
CCTV6,http://mobilelive-ds.ysp.cctv.cn/ysp/2013693901.m3u8$D
CCTV6,http://tnvcn.com:8012/rtp/239.3.1.174:8001$北/京蓮通1+
CCTV6,http://220.175.144.163:9000/rtp/239.252.219.237:5140$江/西電信
CCTV6,http://220.175.144.163:9000/rtp/239.252.220.195:5140$江/西電信
CCTV6,http://220.175.145.4:9000/rtp/239.252.219.237:5140$江/西電信
CCTV6,http://220.175.145.4:9000/rtp/239.252.220.195:5140$江/西電信
CCTV6,http://220.176.218.35:8888/rtp/239.252.219.237:5140$江/西電信
CCTV6,http://220.176.218.35:8888/rtp/239.252.220.195:5140$江/西電信
CCTV6,http://218.89.233.138:8088/rtp/239.93.1.13:2226$四/川電信
CCTV6,http://218.89.233.140:8088/rtp/239.93.1.13:2226$四/川電信
CCTV6,http://171.214.202.192:4000/rtp/239.93.1.13:2226$四/川電信
CCTV6,http://118.116.82.169:4022/rtp/239.93.1.13:2226$四/川電信
CCTV6,http://117.44.55.64:4022/rtp/239.252.219.237:5140$江/西電信
CCTV6,http://117.44.55.64:4022/rtp/239.252.220.195:5140$江/西電信
CCTV6,http://106.118.75.16:4022/rtp/239.254.201.154:7207$河\北電信
CCTV6,http://106.8.125.202:4022/rtp/239.254.201.154:7207$河\北電信
CCTV6,http://27.184.18.144:4022/rtp/239.254.201.154:7207$河\北電信
CCTV6,http://27.191.200.33:14000/rtp/239.254.201.154:7207$河\北電信
CCTV7,http://tnvcn.com:8012/rtp/239.3.1.61:8104$北/京蓮通1+
CCTV7,http://220.175.144.163:9000/rtp/239.252.220.185:5140$江/西電信
CCTV7,http://220.175.145.4:9000/rtp/239.252.220.185:5140$江/西電信
CCTV7,http://220.176.218.35:8888/rtp/239.252.220.185:5140$江/西電信
CCTV7,http://218.89.233.138:8088/rtp/239.93.1.67:5140$四/川電信
CCTV7,http://218.89.233.140:8088/rtp/239.93.1.67:5140$四/川電信
CCTV7,http://171.214.202.192:4000/rtp/239.93.1.67:5140$四/川電信
CCTV7,http://118.116.82.169:4022/rtp/239.93.1.67:5140$四/川電信
CCTV7,http://117.44.55.64:4022/rtp/239.252.220.185:5140$江/西電信
CCTV7,http://106.118.75.16:4022/rtp/239.254.200.159:6000$河\北電信
CCTV7,http://106.8.125.202:4022/rtp/239.254.200.159:6000$河\北電信
CCTV7,http://27.184.18.144:4022/rtp/239.254.200.159:6000$河\北電信
CCTV7,http://27.191.200.33:14000/rtp/239.254.200.159:6000$河\北電信
CCTV8,http://tnvcn.com:8012/rtp/239.3.1.175:8001$北/京蓮通1+
CCTV8,http://220.175.144.163:9000/rtp/239.252.219.253:5140$江/西電信
CCTV8,http://220.175.144.163:9000/rtp/239.252.220.196:5140$江/西電信
CCTV8,http://220.175.145.4:9000/rtp/239.252.219.253:5140$江/西電信
CCTV8,http://220.175.145.4:9000/rtp/239.252.220.196:5140$江/西電信
CCTV8,http://220.176.218.35:8888/rtp/239.252.219.253:5140$江/西電信
CCTV8,http://220.176.218.35:8888/rtp/239.252.220.196:5140$江/西電信
CCTV8,http://218.89.233.138:8088/rtp/239.93.42.39:5140$四/川電信
CCTV8,http://218.89.233.140:8088/rtp/239.93.42.39:5140$四/川電信
CCTV8,http://171.214.202.192:4000/rtp/239.93.42.39:5140$四/川電信
CCTV8,http://118.116.82.169:4022/rtp/239.93.42.39:5140$四/川電信
CCTV8,http://117.44.55.64:4022/rtp/239.252.219.253:5140$江/西電信
CCTV8,http://117.44.55.64:4022/rtp/239.252.220.196:5140$江/西電信
CCTV8,http://106.118.75.16:4022/rtp/239.254.201.155:7208$河\北電信
CCTV8,http://106.8.125.202:4022/rtp/239.254.201.155:7208$河\北電信
CCTV8,http://27.184.18.144:4022/rtp/239.254.201.155:7208$河\北電信
CCTV8,http://27.191.200.33:14000/rtp/239.254.201.155:7208$河\北電信
CCTV9,http://tnvcn.com:8012/rtp/239.3.1.62:8112$北/京蓮通1+
CCTV9,http://220.175.144.163:9000/rtp/239.252.220.186:5140$江/西電信
CCTV9,http://220.175.145.4:9000/rtp/239.252.220.186:5140$江/西電信
CCTV9,http://220.176.218.35:8888/rtp/239.252.220.186:5140$江/西電信
CCTV9,http://218.89.233.138:8088/rtp/239.93.1.24:5140$四/川電信
CCTV9,http://218.89.233.140:8088/rtp/239.93.1.24:5140$四/川電信
CCTV9,http://171.214.202.192:4000/rtp/239.93.1.24:5140$四/川電信
CCTV9,http://118.116.82.169:4022/rtp/239.93.1.24:5140$四/川電信
CCTV9,http://117.44.55.64:4022/rtp/239.252.220.186:5140$江/西電信
CCTV9,http://106.118.75.16:4022/rtp/239.254.200.59:8112$河\北電信
CCTV9,http://106.8.125.202:4022/rtp/239.254.200.59:8112$河\北電信
CCTV9,http://27.184.18.144:4022/rtp/239.254.200.59:8112$河\北電信
CCTV9,http://27.191.200.33:14000/rtp/239.254.200.59:8112$河\北電信
CCTV10,http://tnvcn.com:8012/rtp/239.3.1.63:8116$北/京蓮通1+
CCTV10,http://220.175.144.163:9000/rtp/239.252.220.91:5140$江/西電信
CCTV10,http://220.175.145.4:9000/rtp/239.252.220.91:5140$江/西電信
CCTV10,http://220.176.218.35:8888/rtp/239.252.220.91:5140$江/西電信
CCTV10,http://218.89.233.138:8088/rtp/239.93.1.28:5140$四/川電信
CCTV10,http://218.89.233.140:8088/rtp/239.93.1.28:5140$四/川電信
CCTV10,http://171.214.202.192:4000/rtp/239.93.1.28:5140$四/川電信
CCTV10,http://118.116.82.169:4022/rtp/239.93.1.28:5140$四/川電信
CCTV10,http://117.44.55.64:4022/rtp/239.252.220.91:5140$江/西電信
CCTV10,http://106.118.75.16:4022/rtp/239.254.200.160:6000$河\北電信
CCTV10,http://106.8.125.202:4022/rtp/239.254.200.160:6000$河\北電信
CCTV10,http://27.184.18.144:4022/rtp/239.254.200.160:6000$河\北電信
CCTV10,http://27.191.200.33:14000/rtp/239.254.200.160:6000$河\北電信
CCTV11,http://tnvcn.com:8012/rtp/239.3.1.152:8120$北/京蓮通1+
CCTV11,http://220.175.144.163:9000/rtp/239.252.219.78:5140$江/西電信
CCTV11,http://220.175.145.4:9000/rtp/239.252.219.78:5140$江/西電信
CCTV11,http://220.176.218.35:8888/rtp/239.252.219.78:5140$江/西電信
CCTV11,http://218.89.233.138:8088/rtp/239.93.0.102:5140$四/川電信
CCTV11,http://218.89.233.140:8088/rtp/239.93.0.102:5140$四/川電信
CCTV11,http://171.214.202.192:4000/rtp/239.93.0.102:5140$四/川電信
CCTV11,http://118.116.82.169:4022/rtp/239.93.0.102:5140$四/川電信
CCTV11,http://117.44.55.64:4022/rtp/239.252.219.78:5140$江/西電信
CCTV11,http://106.118.75.16:4022/rtp/239.254.201.123:8120$河\北電信
CCTV11,http://106.8.125.202:4022/rtp/239.254.201.123:8120$河\北電信
CCTV11,http://27.184.18.144:4022/rtp/239.254.201.123:8120$河\北電信
CCTV11,http://27.191.200.33:14000/rtp/239.254.201.123:8120$河\北電信
CCTV12,http://tnvcn.com:8012/rtp/239.3.1.64:8124$北/京蓮通1+
CCTV12,http://220.175.144.163:9000/rtp/239.252.220.187:5140$江/西電信
CCTV12,http://220.175.145.4:9000/rtp/239.252.220.187:5140$江/西電信
CCTV12,http://220.176.218.35:8888/rtp/239.252.220.187:5140$江/西電信
CCTV12,http://218.89.233.138:8088/rtp/239.93.1.30:8124$四/川電信
CCTV12,http://218.89.233.140:8088/rtp/239.93.1.30:8124$四/川電信
CCTV12,http://171.214.202.192:4000/rtp/239.93.1.30:8124$四/川電信
CCTV12,http://118.116.82.169:4022/rtp/239.93.1.30:8124$四/川電信
CCTV12,http://117.44.55.64:4022/rtp/239.252.220.187:5140$江/西電信
CCTV12,http://106.118.75.16:4022/rtp/239.254.200.161:6000$河\北電信
CCTV12,http://106.8.125.202:4022/rtp/239.254.200.161:6000$河\北電信
CCTV12,http://27.184.18.144:4022/rtp/239.254.200.161:6000$河\北電信
CCTV12,http://27.191.200.33:14000/rtp/239.254.200.161:6000$河\北電信
CCTV13,http://tnvcn.com:8012/rtp/239.3.1.124:8128$北/京蓮通1+
CCTV13,http://220.175.144.163:9000/rtp/239.252.219.139:5140$江/西電信
CCTV13,http://220.175.145.4:9000/rtp/239.252.219.139:5140$江/西電信
CCTV13,http://220.176.218.35:8888/rtp/239.252.219.139:5140$江/西電信
CCTV13,http://218.89.233.138:8088/rtp/239.93.0.66:5140$四/川電信
CCTV13,http://218.89.233.140:8088/rtp/239.93.0.66:5140$四/川電信
CCTV13,http://171.214.202.192:4000/rtp/239.93.0.66:5140$四/川電信
CCTV13,http://118.116.82.169:4022/rtp/239.93.0.66:5140$四/川電信
CCTV13,http://117.44.55.64:4022/rtp/239.252.219.139:5140$江/西電信
CCTV13,http://106.118.75.16:4022/rtp/239.254.200.9:8264$河\北電信
CCTV13,http://106.8.125.202:4022/rtp/239.254.200.9:8264$河\北電信
CCTV13,http://27.184.18.144:4022/rtp/239.254.200.9:8264$河\北電信
CCTV13,http://27.191.200.33:14000/rtp/239.254.200.9:8264$河\北電信
CCTV14,http://tnvcn.com:8012/rtp/239.3.1.65:8132$北/京蓮通1+
CCTV14,http://220.175.144.163:9000/rtp/239.252.220.92:5140$江/西電信
CCTV14,http://220.175.145.4:9000/rtp/239.252.220.92:5140$江/西電信
CCTV14,http://220.176.218.35:8888/rtp/239.252.220.92:5140$江/西電信
CCTV14,http://218.89.233.138:8088/rtp/239.93.1.29:6000$四/川電信
CCTV14,http://218.89.233.140:8088/rtp/239.93.1.29:6000$四/川電信
CCTV14,http://171.214.202.192:4000/rtp/239.93.1.29:6000$四/川電信
CCTV14,http://118.116.82.169:4022/rtp/239.93.1.29:6000$四/川電信
CCTV14,http://117.44.55.64:4022/rtp/239.252.220.92:5140$江/西電信
CCTV14,http://106.118.75.16:4022/rtp/239.254.200.162:6000$河\北電信
CCTV14,http://106.8.125.202:4022/rtp/239.254.200.162:6000$河\北電信
CCTV14,http://27.184.18.144:4022/rtp/239.254.200.162:6000$河\北電信
CCTV14,http://27.191.200.33:14000/rtp/239.254.200.162:6000$河\北電信
CCTV15,http://tnvcn.com:8012/rtp/239.3.1.153:8136$北/京蓮通1+
CCTV15,http://220.175.144.163:9000/rtp/239.252.219.79:5140$江/西電信
CCTV15,http://220.175.145.4:9000/rtp/239.252.219.79:5140$江/西電信
CCTV15,http://220.176.218.35:8888/rtp/239.252.219.79:5140$江/西電信
CCTV15,http://218.89.233.138:8088/rtp/239.93.0.103:5140$四/川電信
CCTV15,http://218.89.233.140:8088/rtp/239.93.0.103:5140$四/川電信
CCTV15,http://171.214.202.192:4000/rtp/239.93.0.103:5140$四/川電信
CCTV15,http://118.116.82.169:4022/rtp/239.93.0.103:5140$四/川電信
CCTV15,http://117.44.55.64:4022/rtp/239.252.219.79:5140$江/西電信
CCTV15,http://106.118.75.16:4022/rtp/239.254.201.124:8136$河\北電信
CCTV15,http://106.8.125.202:4022/rtp/239.254.201.124:8136$河\北電信
CCTV15,http://27.184.18.144:4022/rtp/239.254.201.124:8136$河\北電信
CCTV15,http://27.191.200.33:14000/rtp/239.254.201.124:8136$河\北電信
CCTV16,http://tnvcn.com:8012/rtp/239.3.1.184:8001$北/京蓮通1+
CCTV17,http://tnvcn.com:8012/rtp/239.3.1.151:8144$北/京蓮通1+
CCTV17,http://220.175.144.163:9000/rtp/239.252.220.192:5140$江/西電信
CCTV17,http://220.175.145.4:9000/rtp/239.252.220.192:5140$江/西電信
CCTV17,http://220.176.218.35:8888/rtp/239.252.220.192:5140$江/西電信
CCTV17,http://218.89.233.138:8088/rtp/239.93.0.92:5140$四/川電信
CCTV17,http://218.89.233.140:8088/rtp/239.93.0.92:5140$四/川電信
CCTV17,http://171.214.202.192:4000/rtp/239.93.0.92:5140$四/川電信
CCTV17,http://118.116.82.169:4022/rtp/239.93.0.92:5140$四/川電信
CCTV17,http://117.44.55.64:4022/rtp/239.252.220.192:5140$江/西電信
CCTV17,http://106.118.75.16:4022/rtp/239.254.201.120:8144$河\北電信
CCTV17,http://106.8.125.202:4022/rtp/239.254.201.120:8144$河\北電信
CCTV17,http://27.184.18.144:4022/rtp/239.254.201.120:8144$河\北電信
CCTV17,http://27.191.200.33:14000/rtp/239.254.201.120:8144$河\北電信
CCTV4,http://220.175.144.163:9000/rtp/239.252.219.193:5140$江/西電信
CCTV4,http://220.175.145.4:9000/rtp/239.252.219.193:5140$江/西電信
CCTV4,http://220.176.218.35:8888/rtp/239.252.219.193:5140$江/西電信
CCTV4,http://117.44.55.64:4022/rtp/239.252.219.193:5140$江/西電信
CCTV4,http://106.118.75.16:4022/rtp/239.254.201.206:4220$河\北電信
CCTV4,http://106.8.125.202:4022/rtp/239.254.201.206:4220$河\北電信
CCTV4,http://27.184.18.144:4022/rtp/239.254.201.206:4220$河\北電信
CCTV4,http://27.191.200.33:14000/rtp/239.254.201.206:4220$河\北電信
CCTV4,http://220.175.144.163:9000/rtp/239.252.219.192:5140$江/西電信
CCTV4,http://220.175.145.4:9000/rtp/239.252.219.192:5140$江/西電信
CCTV4,http://220.176.218.35:8888/rtp/239.252.219.192:5140$江/西電信
CCTV4,http://117.44.55.64:4022/rtp/239.252.219.192:5140$江/西電信
CCTV4,http://106.118.75.16:4022/rtp/239.254.201.205:4220$河\北電信
CCTV4,http://106.8.125.202:4022/rtp/239.254.201.205:4220$河\北電信
CCTV4,http://27.184.18.144:4022/rtp/239.254.201.205:4220$河\北電信
CCTV4,http://27.191.200.33:14000/rtp/239.254.201.205:4220$河\北電信
CETV1,http://ds920.dsmynas.net:5555/udp/226.0.2.181:9360$山/西蓮通2+
CETV1,http://plex.home.yulei.online:9999/udp/226.0.2.181:9360$山/西蓮通1+
CETV1,http://218.89.233.138:8088/rtp/239.93.1.111:5140$四/川電信
CETV1,http://218.89.233.140:8088/rtp/239.93.1.111:5140$四/川電信
CETV1,http://183.5.94.3:8090/rtp/239.77.0.200:5146$广/东電信
CETV1,http://183.7.111.150:8088/rtp/239.77.0.200:5146$广/东電信
CETV1,http://171.214.202.192:4000/rtp/239.93.1.111:5140$四/川電信
CETV1,http://118.116.82.169:4022/rtp/239.93.1.111:5140$四/川電信
CETV1,http://116.21.123.109:8000/rtp/239.77.0.200:5146$广/东電信
CETV1,http://113.109.241.170:8889/rtp/239.77.0.200:5146$广/东電信
CETV1,http://106.118.75.16:4022/rtp/239.254.200.225:6259$河\北電信
CETV1,http://106.8.125.202:4022/rtp/239.254.200.225:6259$河\北電信
CETV1,http://27.184.18.144:4022/rtp/239.254.200.225:6259$河\北電信
CETV1,http://27.191.200.33:14000/rtp/239.254.200.225:6259$河\北電信
CETV1,http://14.126.28.254:5000/rtp/239.77.0.200:5146$广/东電信
CETV2,http://218.89.233.138:8088/rtp/239.93.0.113:5140$四/川電信
CETV2,http://218.89.233.140:8088/rtp/239.93.0.113:5140$四/川電信
CETV2,http://183.5.94.3:8090/rtp/239.77.1.69:5146$广/东電信
CETV2,http://183.7.111.150:8088/rtp/239.77.1.69:5146$广/东電信
CETV2,http://171.214.202.192:4000/rtp/239.93.0.113:5140$四/川電信
CETV2,http://118.116.82.169:4022/rtp/239.93.0.113:5140$四/川電信
CETV2,http://116.21.123.109:8000/rtp/239.77.1.69:5146$广/东電信
CETV2,http://113.109.241.170:8889/rtp/239.77.1.69:5146$广/东電信
CETV2,http://14.126.28.254:5000/rtp/239.77.1.69:5146$广/东電信
CETV4,http://183.5.94.3:8090/rtp/239.253.43.114:5146$广/东電信
CETV4,http://183.7.111.150:8088/rtp/239.253.43.114:5146$广/东電信
CETV4,http://116.21.123.109:8000/rtp/239.253.43.114:5146$广/东電信
CETV4,http://113.109.241.170:8889/rtp/239.253.43.114:5146$广/东電信
CETV4,http://106.118.75.16:4022/rtp/239.254.200.227:6261$河\北電信
CETV4,http://106.8.125.202:4022/rtp/239.254.200.227:6261$河\北電信
CETV4,http://27.184.18.144:4022/rtp/239.254.200.227:6261$河\北電信
CETV4,http://27.191.200.33:14000/rtp/239.254.200.227:6261$河\北電信
CETV4,http://14.126.28.254:5000/rtp/239.253.43.114:5146$广/东電信
CETV5,http://ds920.dsmynas.net:5555/udp/226.0.2.99:8704$山/西蓮通2+
CETV5,http://plex.home.yulei.online:9999/udp/226.0.2.99:8704$山/西蓮通1+
CETV5,http://183.5.94.3:8090/rtp/239.77.0.180:5146$广/东電信
CETV5,http://183.7.111.150:8088/rtp/239.77.0.180:5146$广/东電信
CETV5,http://116.21.123.109:8000/rtp/239.77.0.180:5146$广/东電信
CETV5,http://113.109.241.170:8889/rtp/239.77.0.180:5146$广/东電信
CETV5,http://106.118.75.16:4022/rtp/239.254.201.230:7253$河\北電信
CETV5,http://106.8.125.202:4022/rtp/239.254.201.230:7253$河\北電信
CETV5,http://27.184.18.144:4022/rtp/239.254.201.230:7253$河\北電信
CETV5,http://27.191.200.33:14000/rtp/239.254.201.230:7253$河\北電信
CETV5,http://14.126.28.254:5000/rtp/239.77.0.180:5146$广/东電信
世界地理,http://czkeji.vip:9000/udp/239.252.219.93:5140$江/西電信1+
世界地理,http://220.175.144.163:9000/rtp/239.252.219.93:5140$江/西電信
世界地理,http://220.175.145.4:9000/rtp/239.252.219.93:5140$江/西電信
世界地理,http://220.176.218.35:8888/rtp/239.252.219.93:5140$江/西電信
世界地理,http://117.44.55.64:4022/rtp/239.252.219.93:5140$江/西電信
世界地理,http://106.118.75.16:4022/rtp/239.254.201.226:7254$河\北電信
世界地理,http://106.8.125.202:4022/rtp/239.254.201.226:7254$河\北電信
世界地理,http://27.184.18.144:4022/rtp/239.254.201.226:7254$河\北電信
世界地理,http://27.191.200.33:14000/rtp/239.254.201.226:7254$河\北電信
宾器科技,http://czkeji.vip:9000/udp/239.252.219.98:5140$江/西電信1+
宾器科技,http://220.175.144.163:9000/rtp/239.252.219.98:5140$江/西電信
宾器科技,http://220.175.145.4:9000/rtp/239.252.219.98:5140$江/西電信
宾器科技,http://220.176.218.35:8888/rtp/239.252.219.98:5140$江/西電信
宾器科技,http://117.44.55.64:4022/rtp/239.252.219.98:5140$江/西電信
宾器科技,http://106.118.75.16:4022/rtp/239.254.201.225:7249$河\北電信
宾器科技,http://106.8.125.202:4022/rtp/239.254.201.225:7249$河\北電信
宾器科技,http://27.184.18.144:4022/rtp/239.254.201.225:7249$河\北電信
宾器科技,http://27.191.200.33:14000/rtp/239.254.201.225:7249$河\北電信
秧视台球,http://czkeji.vip:9000/udp/239.252.219.80:5140$江/西電信1+
秧视台球,http://220.175.144.163:9000/rtp/239.252.219.80:5140$江/西電信
秧视台球,http://220.175.145.4:9000/rtp/239.252.219.80:5140$江/西電信
秧视台球,http://220.176.218.35:8888/rtp/239.252.219.80:5140$江/西電信
秧视台球,http://117.44.55.64:4022/rtp/239.252.219.80:5140$江/西電信
秧视台球,http://106.118.75.16:4022/rtp/239.254.201.171:7176$河\北電信
秧视台球,http://106.8.125.202:4022/rtp/239.254.201.171:7176$河\北電信
秧视台球,http://27.184.18.144:4022/rtp/239.254.201.171:7176$河\北電信
秧视台球,http://27.191.200.33:14000/rtp/239.254.201.171:7176$河\北電信
女性时尚,http://czkeji.vip:9000/udp/239.252.219.94:5140$江/西電信1+
女性时尚,http://220.175.144.163:9000/rtp/239.252.219.94:5140$江/西電信
女性时尚,http://220.175.145.4:9000/rtp/239.252.219.94:5140$江/西電信
女性时尚,http://220.176.218.35:8888/rtp/239.252.219.94:5140$江/西電信
女性时尚,http://117.44.55.64:4022/rtp/239.252.219.94:5140$江/西電信
女性时尚,http://106.118.75.16:4022/rtp/239.254.201.228:7255$河\北電信
女性时尚,http://106.8.125.202:4022/rtp/239.254.201.228:7255$河\北電信
女性时尚,http://27.184.18.144:4022/rtp/239.254.201.228:7255$河\北電信
女性时尚,http://27.191.200.33:14000/rtp/239.254.201.228:7255$河\北電信
怀旧裾场,http://czkeji.vip:9000/udp/239.252.219.90:5140$江/西電信1+
怀旧裾场,http://220.175.144.163:9000/rtp/239.252.219.90:5140$江/西電信
怀旧裾场,http://220.175.145.4:9000/rtp/239.252.219.90:5140$江/西電信
怀旧裾场,http://220.176.218.35:8888/rtp/239.252.219.90:5140$江/西電信
怀旧裾场,http://218.89.233.138:8088/rtp/239.93.1.198:5140$四/川電信
怀旧裾场,http://218.89.233.140:8088/rtp/239.93.1.198:5140$四/川電信
怀旧裾场,http://171.214.202.192:4000/rtp/239.93.1.198:5140$四/川電信
